Randomizer Version: 4.4.0
Random Seed: 191563861191468
Settings String: 318WRIEEjIAAAMABgCRAAKeBnsECQEAFAACCQAuEgAAAAAABRi45ATkAYYICTIGBAIyAAIQRmlyZSBSZWQgKFUpIDEuMZoolK7jwziK

--Patching for National Dex at Start of Game--
Patch successful!

--Randomized Evolutions--
BULBASAUR       -> NIDORINA       
 16|PIDGEY       |NORMAL/FLYING    |  62|  34|  47|  33|  36|  39|TRUANT      |-------     |
 17|PIDGEOTTO    |NORMAL/FLYING    | 106|  40|  14|  57|  52|  80|MAGMA ARMOR |CHLOROPHYLL |TM46 (common), TM14 (rare)
 18|PIDGEOT      |NORMAL/FLYING    |  56| 124|  43| 104|  96|  46|POISON POINT|LEVITATE    |
 19|RATTATA      |NORMAL           |  38|  63|  14|  44|  32|  63|DAMP        |INSOMNIA    |SPELL TAG (common), TM09 (rare)
 20|RATICATE     |NORMAL           |  92|  62|  12| 109|  95|  43|PICKUP      |SOUNDPROOF  |LEAF STONE (rare)
 21|SPEAROW      |NORMAL/FLYING    |  61|  43|  39|  42|  57|  19|SAND VEIL   |-------     |
 22|FEAROW       |NORMAL/FLYING    |  64|  60| 132|  61|  38|  88|MARVEL SCALE|HYPER CUTTER|SOFT SAND (common)
 23|EKANS        |POISON           |  22| 113|  27|  26|  46|  54|SAND VEIL   |-------     |
 24|ARBOK        |POISON           | 133|  90|  33|  11| 159|  13|COLOR CHANGE|HYPER CUTTER|
 25|PIKACHU      |ELECTRIC         |  67|  12|  54|  58|  61|  48|POISON POINT|-------     |
 26|RAICHU       |ELECTRIC         |  45| 113|  44|  52| 135|  87|PICKUP      |-------     |
 27|SANDSHREW    |GROUND           |  50|  78|  78|  24|  49|  20|HUSTLE      |DRIZZLE     |
 28|SANDSLASH    |GROUND           |  60|  74|  70| 132| 103|  11|AIR LOCK    |-------     |
 29|NIDORAN♀     |POISON           |  28|  46|  49|  51|  65|  36|GUTS        |-------     |SHOAL SHELL (common), SOFT SAND (rare)
 30|NIDORINA     |POISON           |  79|  52|  79|  40|  17|  98|HUGE POWER  |-------     |
 31|NIDOQUEEN    |POISON/GROUND    |  41| 135|  84| 106|  55|  74|SAND STREAM |STICKY HOLD |
 32|NIDORAN♂     |POISON           |  68|  36|  26|  66|  38|  37|TRACE       |-------     |
 33|NIDORINO     |POISON           |  80|  78|  67|  60|  58|  23|SHED SKIN   |-------     |
 34|NIDOKING     |POISON/GROUND    |  21| 135|  95|  53|  32| 160|STICKY HOLD |-------     |FOCUS BAND (rare)
 35|CLEFAIRY     |NORMAL           |  94|  50|  41|  21|  75|  42|SAND STREAM |-------     |SUPER POTION (common), TM43 (rare)
 36|CLEFABLE     |NORMAL           | 135|  18| 130|  14| 141|  34|HUSTLE      |-------     |
 37|VULPIX       |FIRE             |  30|  30|  63|  47|  66|  63|PRESSURE    |-------     |GUARD SPEC. (common)
 38|NINETALES    |FIRE             |  98| 132|  62|  37|  23| 152|DRIZZLE     |-------     |MASTER BALL (common), METAL COAT (rare)
 39|JIGGLYPUFF   |NORMAL           |  38|  25|  19|  58|  76|  55|CHLOROPHYLL |-------     |
 40|WIGGLYTUFF   |NORMAL           | 104|  37|  35|  76|  61| 112|SHIELD DUST |-------     |TM40 (common), SEA INCENSE (rare)
 41|ZUBAT        |POISON/FLYING    |  37|  79|  25|  62|  16|  27|LEVITATE    |-------     |
 42|GOLBAT       |POISON/FLYING    | 134|  80|  28|  77|  39|  97|CHLOROPHYLL |MAGMA ARMOR |TM46 (100%)
 43|ODDISH       |GRASS/POISON     |  45|  94|  52|  30|  22|  77|SHED SKIN   |-------     |
 44|GLOOM        |GRASS/POISON     |  97|  39|  59|  15|  83| 103|OBLIVIOUS   |-------     |
 45|VILEPLUME    |GRASS/POISON     |  99|  81|  86|  53| 105|  55|BLAZE       |-------     |
 46|PARAS        |BUG/GRASS        |  78|  15|  44|  63|  58|  27|CHLOROPHYLL |-------     |REVIVE (common)
 47|PARASECT     |BUG/GRASS        |  81|  29|  95| 108|  38|  53|HUGE POWER  |-------     |SUPER POTION (common)
 48|VENONAT      |BUG/POISON       |  59|  71|  60|  40|  51|  23|INSOMNIA    |SWIFT SWIM  |CHESTO BERRY (common)
 49|VENOMOTH     |BUG/POISON       |  58| 110| 107|  15|  59| 101|AIR LOCK    |-------     |PEARL (common), HP UP (rare)
 50|DIGLETT      |GROUND           |  63|  41|  14|  36|  65|  46|ROCK HEAD   |OWN TEMPO   |FULL HEAL (common), PROTEIN (rare)
 51|DUGTRIO      |GROUND           |  42|  25| 129|  66|  49|  95|KEEN EYE    |ILLUMINATE  |
 52|MEOWTH       |NORMAL           |  61|  62|  64|  56|  24|  23|FLASH FIRE  |-------     |
 53|PERSIAN      |NORMAL           |  23| 134|  39|  74| 142|  27|TRACE       |-------     |
 54|PSYDUCK      |WATER            |  33|  56|  87|  83|  25|  36|SERENE GRACE|INNER FOCUS |
 55|GOLDUCK      |WATER            | 137|  45|  81| 123|  19|  94|WATER ABSORB|LIMBER      |
 56|MANKEY       |FIGHTING         |  59|  52|  20|  78|  84|  12|PLUS        |-------     |POTION (100%)
 57|PRIMEAPE     |FIGHTING         |  54|  50| 127|  81|  32| 111|DAMP        |-------     |
 58|GROWLITHE    |FIRE             |  59|  38|  69|  83|  73|  28|FLAME BODY  |WATER VEIL  |
 59|ARCANINE     |FIRE             | 139|  85|  75|  27|  51| 178|SUCTION CUPS|FLASH FIRE  |SUPER POTION (rare)
 60|POLIWAG      |WATER            |  42|  42|  58|  23|  66|  69|DAMP        |-------     |GUARD SPEC. (rare)
 61|POLIWHIRL    |WATER            |  32|  90|  97|  38|  72|  55|FLASH FIRE  |LIQUID OOZE |TM26 (rare)
 62|POLIWRATH    |WATER/FIGHTING   |  43|  84|  58|  88| 104| 124|VOLT ABSORB |COLOR CHANGE|AWAKENING (rare)
 63|ABRA         |PSYCHIC          |  72|  62|  56|  38|  16|  65|SWIFT SWIM  |SUCTION CUPS|
 64|KADABRA      |PSYCHIC          |  80|  19|  84|  96| 106|  15|FLAME BODY  |RAIN DISH   |ANTIDOTE (rare)
 65|ALAKAZAM     |PSYCHIC          | 109|  98|  74|  61|  70|  78|SPEED BOOST |SOUNDPROOF  |
 66|MACHOP       |FIGHTING         |  34|  73|  30|  44|  38|  85|PICKUP      |RAIN DISH   |
 67|MACHOKE      |FIGHTING         | 110|  19|  18|  82| 109|  66|CHLOROPHYLL |-------     |BIG MUSHROOM (common), REVIVAL HERB (rare)
 68|MACHAMP      |FIGHTING         | 111|  59|  80|  70|  48| 138|NATURAL CURE|STICKY HOLD |
 69|BELLSPROUT   |GRASS/POISON     |  93|  42|  93|  33|  25|  14|POISON POINT|PICKUP      |X SPEED (common), STARDUST (rare)
 70|WEEPINBELL   |GRASS/POISON     | 122|  38|  17|  13|  88| 111|STATIC      |DAMP        |TM12 (common)
 71|VICTREEBEL   |GRASS/POISON     | 129|  51|  61|  68|  91|  80|SWARM       |-------     |
 72|TENTACOOL    |WATER/POISON     |  26| 114|  20|  89|  55|  32|CUTE CHARM  |-------     |TM18 (common)
 73|TENTACRUEL   |WATER/POISON     |  61|  34| 156|  19| 155|  90|AIR LOCK    |-------     |
 74|GEODUDE      |ROCK/GROUND      |  83|  41|  42|  36|  31|  68|LIMBER      |-------     |
 75|GRAVELER     |ROCK/GROUND      | 105|  38|  70| 102|  35|  40|MARVEL SCALE|VITAL SPIRIT|NEST BALL (common), SOFT SAND (rare)
 76|GOLEM        |ROCK/GROUND      | 174| 166|  48|  15|  26|  55|IMMUNITY    |-------     |GUARD SPEC. (rare)
 77|PONYTA       |FIRE             |  44| 106|  31|  35| 184|  11|POISON POINT|-------     |
 78|RAPIDASH     |FIRE             | 228|  56|  46|  38|  11| 122|DAMP        |EARLY BIRD  |
 79|SLOWPOKE     |WATER/PSYCHIC    |  51|  57|  25|  30|  90|  61|PURE POWER  |-------     |TM14 (common), REPEL (rare)
 80|SLOWBRO      |WATER/PSYCHIC    |  36|  60|  29| 171| 148|  45|AIR LOCK    |SPEED BOOST |
 81|MAGNEMITE    |ELECTRIC/STEEL   |  56|  43|  89|  41|  84|  12|LIGHTNINGROD|-------     |
 82|MAGNETON     |ELECTRIC/STEEL   | 102|  13|  77|  84| 100|  88|WHITE SMOKE |WATER VEIL  |SUPER POTION (rare)
 83|FARFETCH’D   |NORMAL/FLYING    | 131|  23|  22|  16| 127|  33|AIR LOCK    |-------     |GREEN SHARD (common)
 84|DODUO        |NORMAL/FLYING    |  61|  48|  58|  73|  49|  22|AIR LOCK    |-------     |
 85|DODRIO       |NORMAL/FLYING    | 108|  85|  83|  85|  67|  32|STURDY      |-------     |
 86|SEEL         |WATER            |  39|  11| 123|  55|  80|  18|LIGHTNINGROD|DROUGHT     |
 87|DEWGONG      |WATER/ICE        |  28| 124|  20| 121|  45| 137|PLUS        |-------     |
 88|GRIMER       |POISON           |  38|  70|  20|  62|  87|  47|PICKUP      |-------     |
 89|MUK          |POISON           |  25| 162| 131|  69|  40|  72|HUSTLE      |-------     |
 90|SHELLDER     |WATER            |  63|  48|  73|  24|  50|  47|PLUS        |SYNCHRONIZE |
 91|CLOYSTER     |WATER/ICE        |  70| 147|  51| 130|  68|  58|DROUGHT     |-------     |
 92|GASTLY       |GHOST/POISON     |  26|  27|  18|  61| 113|  65|STENCH      |EFFECT SPORE|IRON (rare)
 93|HAUNTER      |GHOST/POISON     |  34| 102|  75|  76|  88|  31|OBLIVIOUS   |EARLY BIRD  |HEART SCALE (common), CARBOS (rare)
 94|GENGAR       |GHOST/POISON     | 102| 125|  88|  81|  34|  70|BLAZE       |-------     |
 95|ONIX         |ROCK/GROUND      |  21|  24| 104|  61| 108|  68|SERENE GRACE|-------     |
 96|DROWZEE      |PSYCHIC          |  62|  66|  62|  49|  71|  18|SAND STREAM |VITAL SPIRIT|
 97|HYPNO        |PSYCHIC          | 167| 102|  35|  27|  63|  90|SUCTION CUPS|PICKUP      |PP MAX (common), MOON STONE (rare)
 98|KRABBY       |WATER            |  71|  60|  58|  65|  56|  15|ILLUMINATE  |SYNCHRONIZE |WATER STONE (rare)
 99|KINGLER      |WATER            |  67|  85|  74|  90|  84|  75|THICK FAT   |ROCK HEAD   |GREAT BALL (common), DRAGON SCALE (rare)
100|VOLTORB      |ELECTRIC         |  88|  60|  37|  42|  48|  55|SHIELD DUST |-------     |NET BALL (common), DRAGON SCALE (rare)
101|ELECTRODE    |ELECTRIC         | 114| 105|  44|  71|  47| 100|SAND VEIL   |PICKUP      |CARBOS (rare)
102|EXEGGCUTE    |GRASS/PSYCHIC    |  81|  59|  49|  48|  69|  20|DRIZZLE     |-------     |TM17 (common), BLACK BELT (rare)
103|EXEGGUTOR    |GRASS/PSYCHIC    |  65|  62|  55| 140|  73| 124|SWARM       |SWIFT SWIM  |
104|CUBONE       |GROUND           |  65|  39|  38|  71|  93|  13|SOUNDPROOF  |-------     |
105|MAROWAK      |GROUND           |  75|  33|  89| 118|  21|  89|WATER ABSORB|-------     |TM47 (100%)
106|HITMONLEE    |FIGHTING         | 109| 103|  87|  56|  15|  84|TORRENT     |-------     |
107|HITMONCHAN   |FIGHTING         |  90|  83|  83|  85|  28|  86|WATER VEIL  |-------     |
108|LICKITUNG    |NORMAL           | 103|  22|  41|  76|  90|  53|NATURAL CURE|SWIFT SWIM  |
109|KOFFING      |POISON           |  73|  74|  47|  42|  68|  36|FLASH FIRE  |-------     |CARBOS (common), PREMIER BALL (rare)
110|WEEZING      |POISON           |  56|  89|  61| 106|  92|  86|TORRENT     |SYNCHRONIZE |HEART SCALE (common)
111|RHYHORN      |GROUND/ROCK      |  43|  72|  12|  76|  67|  75|THICK FAT   |-------     |TM36 (100%)
112|RHYDON       |GROUND/ROCK      |  80|  58|  74|  89|  79| 105|MINUS       |MAGMA ARMOR |TM50 (common), PP MAX (rare)
113|CHANSEY      |NORMAL           |  99| 121|  93|  18|  99|  21|PICKUP      |-------     |ASPEAR BERRY (common), NET BALL (rare)
114|TANGELA      |GRASS            |  27| 213|  13|  11| 147|  24|MINUS       |-------     |PP MAX (rare)
115|KANGASKHAN   |NORMAL           | 134|  21|  33|  95|  76| 131|HUGE POWER  |SHELL ARMOR |TM19 (rare)
116|HORSEA       |WATER            |  61|  60|  69|  18|  67|  20|WATER VEIL  |-------     |TM24 (common)
117|SEADRA       |WATER            | 103|  60|  95|  34|  72|  76|ROCK HEAD   |STICKY HOLD |
118|GOLDEEN      |WATER            |  62|  53|  70|  88|  16|  32|INNER FOCUS |-------     |MAGNET (100%)
119|SEAKING      |WATER            |  63| 106|  86|  44| 115|  36|OVERGROW    |-------     |
120|STARYU       |WATER            |  36|  53|  55|  89|  55|  53|PRESSURE    |-------     |
121|STARMIE      |WATER/PSYCHIC    |  63| 198| 103|  85|  15|  56|CHLOROPHYLL |SERENE GRACE|
122|MR. MIME     |PSYCHIC          |  48|  87| 123|  29| 108|  66|CUTE CHARM  |-------     |TM47 (common), PECHA BERRY (rare)
123|SCYTHER      |BUG/FLYING       | 118|  56| 122|  49| 120|  36|HYPER CUTTER|-------     |DIRE HIT (rare)
124|JYNX         |ICE/PSYCHIC      |  95| 152|  12|  80|  74|  42|VITAL SPIRIT|-------     |
125|ELECTABUZZ   |ELECTRIC         |  73|  38| 124|  28| 107| 119|MINUS       |-------     |
126|MAGMAR       |FIRE             |  78|  24| 108| 126| 115|  44|TRACE       |-------     |
127|PINSIR       |BUG              |  92|  56|  79|  99|  73| 102|LEVITATE    |-------     |MAX ETHER (rare)
128|TAUROS       |NORMAL           |  90| 193|  24|  20| 120|  43|SHIELD DUST |-------     |
129|MAGIKARP     |WATER            |  49|  34|  21|  40|  26|  30|PICKUP      |FLASH FIRE  |PP UP (common), LEAF STONE (rare)
130|GYARADOS     |WATER/FLYING     | 147| 121|  61|  55|  29| 126|HUSTLE      |PURE POWER  |
131|LAPRAS       |WATER/ICE        |  75| 133| 159|  83|  25|  61|IMMUNITY    |INTIMIDATE  |BLUE SHARD (rare)
132|DITTO        |NORMAL           |  49|  52|  63|  41|  55|  29|RAIN DISH   |KEEN EYE    |
133|EEVEE        |NORMAL           |  60|  69|  66|  11|  50|  69|PURE POWER  |CLOUD NINE  |
134|VAPOREON     |WATER            |  86|  53|  95| 108|  91|  93|THICK FAT   |ROUGH SKIN  |TM10 (common), BLACKGLASSES (rare)
135|JOLTEON      |ELECTRIC         |  95|  63|  98|  78| 100|  92|SHED SKIN   |RUN AWAY    |
136|FLAREON      |FIRE             | 125| 116|  78|  50|  43| 113|INNER FOCUS |-------     |SOFT SAND (common), CHESTO BERRY (rare)
137|PORYGON      |NORMAL           |  32|  52| 114| 113|  41|  43|OBLIVIOUS   |HUGE POWER  |NEST BALL (common), SOFT SAND (rare)
138|OMANYTE      |ROCK/WATER       |  92|  22|  50|  62|  88|  42|LIMBER      |OBLIVIOUS   |
139|OMASTAR      |ROCK/WATER       | 136| 122|  94|  16|  31|  96|GUTS        |STENCH      |LEAF STONE (common), HEART SCALE (rare)
140|KABUTO       |ROCK/WATER       | 123|  82|  34|  55|  30|  31|KEEN EYE    |FLAME BODY  |
141|KABUTOPS     |ROCK/WATER       | 117| 117|  32|  33| 118|  79|OWN TEMPO   |-------     |
142|AERODACTYL   |ROCK/FLYING      | 100|  36| 124| 133| 107|  15|VOLT ABSORB |FLAME BODY  |SAFARI BALL (common)
143|SNORLAX      |NORMAL           | 110|  83|  32|  87| 110| 117|STENCH      |-------     |UP-GRADE (100%)
144|ARTICUNO     |ICE/FLYING       | 191|  77|  21|  86| 134|  71|CUTE CHARM  |OWN TEMPO   |PROTEIN (100%)
145|ZAPDOS       |ELECTRIC/FLYING  | 134|  83| 104| 121|  73|  64|SERENE GRACE|LIMBER      |TM09 (common), TM11 (rare)
146|MOLTRES      |FIRE/FLYING      | 128| 106|  51|  96| 102|  97|FLASH FIRE  |SERENE GRACE|SHELL BELL (common)
147|DRATINI      |DRAGON           |  62|  42|  53|  38|  54|  51|WATER ABSORB|-------     |
148|DRAGONAIR    |DRAGON           |  33|  96|  57| 126|  14|  93|CUTE CHARM  |MARVEL SCALE|MAX REPEL (common), HEART SCALE (rare)
149|DRAGONITE    |DRAGON/FLYING    |  88| 119| 132|  48|  89| 123|DRIZZLE     |SWIFT SWIM  |
150|MEWTWO       |PSYCHIC          |  75|  46| 221|  49| 234|  55|FLASH FIRE  |MINUS       |
151|MEW          |PSYCHIC          |  96|  25| 117|  68| 133| 160|ROCK HEAD   |-------     |
152|CHIKORITA    |GRASS            |  21|  74|  28|  84|  39|  73|SAND VEIL   |SUCTION CUPS|BLUE SHARD (100%)
153|BAYLEEF      |GRASS            |  83|  82|  63|  58|  42|  78|MAGMA ARMOR |KEEN EYE    |
154|MEGANIUM     |GRASS            | 119|  96| 113|  11|  93|  94|PICKUP      |-------     |
155|CYNDAQUIL    |FIRE             |  52|  67|  60|  33|  53|  45|IMMUNITY    |-------     |
156|QUILAVA      |FIRE             |  81|  87| 100|  88|  27|  22|WATER ABSORB|-------     |TM46 (common)
157|TYPHLOSION   |FIRE             | 172|  18|  64|  73| 194|  12|SUCTION CUPS|PRESSURE    |
158|TOTODILE     |WATER            |  35|  52|  33|  31|  83|  80|FLAME BODY  |-------     |TM23 (rare)
159|CROCONAW     |WATER            |  31|  62|  13| 121|  78| 100|FLASH FIRE  |SHED SKIN   |MAX ELIXIR (rare)
160|FERALIGATR   |WATER            |  84|  65|  60| 120| 117|  84|EARLY BIRD  |STENCH      |
161|SENTRET      |NORMAL           |  70|  16|  15|  55|  25|  35|RUN AWAY    |-------     |TWISTEDSPOON (common), TM48 (rare)
162|FURRET       |NORMAL           |  85|  92|  45|  91|  71|  31|CUTE CHARM  |-------     |FULL HEAL (rare)
163|HOOTHOOT     |NORMAL/FLYING    |  40|  11|  67|  62|  35|  48|STENCH      |-------     |TM17 (common)
164|NOCTOWL      |NORMAL/FLYING    |  83|  76|  24|  98|  80|  80|HUSTLE      |-------     |TM17 (rare)
165|LEDYBA       |BUG/FLYING       |  43|  36|  23|  58|  33|  73|DAMP        |SOUNDPROOF  |SCOPE LENS (100%)
166|LEDIAN       |BUG/FLYING       | 102|  13|  77|  81|  39|  77|OVERGROW    |-------     |
167|SPINARAK     |BUG/POISON       |  64|  59|  38|  11|  64|  15|SHED SKIN   |FLASH FIRE  |NET BALL (100%)
168|ARIADOS      |BUG/POISON       | 104|  23|  59|  47|  23| 133|DAMP        |NATURAL CURE|
169|CROBAT       |POISON/FLYING    | 109|  32|  62|  54|  99| 179|ILLUMINATE  |-------     |GREAT BALL (common)
170|CHINCHOU     |WATER/ELECTRIC   |  64|  62|  49|  55|  48|  51|STATIC      |-------     |
171|LANTURN      |WATER/ELECTRIC   | 114|  50|  81|  92|  40|  83|HUGE POWER  |-------     |
172|PICHU        |ELECTRIC         |  29|  36|  28|  33|  37|  42|CLOUD NINE  |-------     |
173|CLEFFA       |NORMAL           |  31|  47|  47|  44|  35|  13|TORRENT     |STENCH      |
174|IGGLYBUFF    |NORMAL           |  25|  48|  40|  15|  58|  23|CHLOROPHYLL |-------     |YELLOW SHARD (common), SITRUS BERRY (rare)
175|TOGEPI       |NORMAL           |  38|  65|  25|  32|  71|  13|SERENE GRACE|-------     |ICE HEAL (common)
