,Type,Did_Player_Win
183,NORMAL,False
184,PSYCHIC,False
185,NORMAL,False
186,PSYCHIC,False
187,GROUND,False
188,ICE,False
189,PSYCHIC,False
190,WATER,False
191,BUG,False
192,POISON,False
193,ROCK,False
194,NORMAL,False
195,NORMAL,False
196,WATER,True
197,GHOST,False
198,WATER,False
199,DARK,True
200,NORMAL,False
201,GROUND,False
202,BUG,False
203,WATER,True
204,WATER,False
205,ICE,False
206,NORMAL,False
207,WATER,False
208,ROCK,False
209,DRAGON,False
210,FIRE,False
211,WATER,False
212,ROCK,False
213,NORMAL,False
214,ROCK,False
215,ROCK,False
216,WATER,True
217,ELECTRIC,True
218,WATER,False
219,NORMAL,False
220,NORMAL,False
221,ELECTRIC,False
222,GHOST,False
223,NORMAL,False
224,PSYCHIC,True
225,ICE,False
226,FIGHTING,False
227,FIRE,True
228,WATER,False
229,ELECTRIC,False
230,DRAGON,False
231,WATER,False
232,WATER,False
233,FIRE,False
234,NORMAL,False
235,WATER,False
236,NORMAL,False
237,ELECTRIC,False
238,WATER,False
239,GRASS,False
240,BUG,False
241,FIRE,False
242,FIGHTING,False
243,FIGHTING,False
244,STEEL,False
245,GRASS,False
246,ROCK,True
247,ICE,False
248,PSYCHIC,False
249,FIRE,False
250,PSYCHIC,True
251,GROUND,False
252,GRASS,False
253,ELECTRIC,False
254,WATER,True
255,GROUND,False
256,GROUND,False
257,FIRE,False
258,DRAGON,False
259,PSYCHIC,False
260,WATER,False
261,DRAGON,True
262,DARK,False
263,FIRE,False
264,FIRE,False
265,BUG,False
266,WATER,False
267,FIRE,False
268,ELECTRIC,False
269,FIRE,False
270,ROCK,True
271,GRASS,False
272,POISON,False
273,NORMAL,False
274,ELECTRIC,False
275,FIRE,True
276,WATER,False
277,NORMAL,False
278,WATER,False
279,PSYCHIC,False
280,STEEL,False
281,NORMAL,False
282,FIGHTING,False
283,PSYCHIC,False
284,WATER,False
285,WATER,False
286,FIRE,False
287,NORMAL,False
288,NORMAL,True
289,NORMAL,False
290,FIRE,False
291,WATER,False
292,GRASS,False
293,NORMAL,False
294,WATER,False
295,FIGHTING,False
296,ROCK,True
297,ROCK,False
298,POISON,True
299,NORMAL,False
300,BUG,False
301,NORMAL,False
302,ROCK,False
303,WATER,False
304,BUG,False
305,NORMAL,False
306,ELECTRIC,True
307,GROUND,False
308,WATER,False
309,FIRE,False
310,WATER,False
311,ELECTRIC,False
312,ROCK,False
313,ROCK,False
314,WATER,True
315,NORMAL,False
316,FIRE,False
317,NORMAL,False
318,BUG,False
319,WATER,False
320,STEEL,False
321,PSYCHIC,True
322,PSYCHIC,False
323,POISON,False
324,FIRE,False
325,DARK,False
326,DARK,False
327,ROCK,False
328,DRAGON,False
329,FIRE,False
330,NORMAL,False
331,DARK,False
332,NORMAL,False
333,NORMAL,False
334,BUG,False
335,BUG,False
336,POISON,False
337,GRASS,False
338,NORMAL,False
339,NORMAL,False
340,FIGHTING,False
341,POISON,False
342,WATER,False
343,ROCK,False
344,WATER,False
345,PSYCHIC,False
346,NORMAL,False
347,ELECTRIC,False
348,NORMAL,False
349,WATER,True
350,GRASS,False
351,BUG,False
352,NORMAL,False
353,ELECTRIC,True
354,STEEL,False
355,NORMAL,False
356,ELECTRIC,False
357,ICE,False
358,WATER,False
359,WATER,True
360,ROCK,False
361,NORMAL,True
362,FIGHTING,False
363,NORMAL,False
364,NORMAL,False
365,POISON,False
366,FIRE,True
367,STEEL,False
368,GHOST,False
369,WATER,False
370,WATER,False
371,GRASS,False
372,GRASS,True
373,GRASS,False
374,NORMAL,True
375,GRASS,False
376,BUG,False
377,GRASS,False
378,WATER,True
379,NORMAL,False
380,WATER,True
381,DARK,True
382,GHOST,False
383,DARK,False
384,POISON,False
385,NORMAL,False
386,GRASS,False
387,NORMAL,False
388,WATER,False
389,NORMAL,False
390,GRASS,False
391,BUG,False
392,ELECTRIC,False
393,FIGHTING,False
394,BUG,False
395,ROCK,False
396,DRAGON,False
397,GRASS,False
398,WATER,False
399,NORMAL,False
400,GRASS,False
401,ELECTRIC,False
402,NORMAL,False
403,GRASS,False
404,NORMAL,False
405,POISON,False
406,STEEL,False
407,GROUND,True
408,GHOST,False
409,FIRE,False
410,WATER,False
411,NORMAL,False
412,DARK,False
413,NORMAL,True
414,GRASS,False
415,ELECTRIC,True
416,NORMAL,False
417,ROCK,False
418,DRAGON,True
419,BUG,False
420,WATER,False
421,NORMAL,False
422,WATER,True
423,NORMAL,False
424,WATER,False
425,FIRE,True
426,FIRE,False
427,GRASS,False
428,BUG,False
429,BUG,False
430,WATER,False
431,FIGHTING,False
432,WATER,False
433,STEEL,False
434,NORMAL,False
435,NORMAL,False
436,DRAGON,False
437,WATER,False
438,PSYCHIC,False
439,GROUND,False
440,NORMAL,True
441,GRASS,False
442,NORMAL,False
443,FIGHTING,False
444,POISON,False
445,NORMAL,False
446,NORMAL,False
447,WATER,False
448,WATER,False
449,WATER,False
450,GRASS,False
451,WATER,False
452,FIRE,False
453,WATER,False
454,FIRE,False
455,NORMAL,False
456,FIRE,False
457,PSYCHIC,False
458,DRAGON,False
459,GROUND,True
460,GRASS,False
461,BUG,True
462,PSYCHIC,False
463,PSYCHIC,False
464,ELECTRIC,False
465,STEEL,False
466,POISON,True
467,PSYCHIC,False
468,BUG,False
469,ELECTRIC,False
470,WATER,True
471,GRASS,False
472,POISON,False
473,WATER,False
474,BUG,False
475,ELECTRIC,False
476,WATER,False
477,NORMAL,False
478,ELECTRIC,False
479,BUG,False
480,ELECTRIC,False
481,POISON,False
482,WATER,False
483,NORMAL,False
484,DRAGON,False
485,BUG,False
486,NORMAL,False
487,NORMAL,False
488,POISON,False
489,GRASS,False
490,NORMAL,True
491,BUG,False
492,FIRE,False
493,ICE,False
494,NORMAL,False
495,FIGHTING,False
496,STEEL,False
497,WATER,False
498,WATER,False
499,PSYCHIC,True
500,GHOST,False
501,GHOST,True
502,WATER,False
503,WATER,False
504,NORMAL,True
505,ROCK,False
506,GRASS,False
507,ELECTRIC,False
508,FIRE,False
509,NORMAL,False
510,FIRE,False
511,FIRE,False
512,NORMAL,False
513,PSYCHIC,False
514,BUG,False
515,NORMAL,False
516,PSYCHIC,False
517,DARK,False
518,WATER,True
519,GROUND,False
520,STEEL,True
521,GRASS,False
522,ROCK,True
523,BUG,False
524,WATER,True
525,NORMAL,False
526,ELECTRIC,False
527,NORMAL,True
528,WATER,False
529,DRAGON,True
530,BUG,False
531,STEEL,False
532,GROUND,False
533,FIRE,False
534,GROUND,False
535,WATER,False
536,BUG,False
537,NORMAL,False
538,GROUND,False
539,NORMAL,False
540,NORMAL,True
541,NORMAL,False
542,DRAGON,True
543,STEEL,True
544,ROCK,False
545,ROCK,False
546,GHOST,False
547,BUG,False
548,WATER,False
549,WATER,False
550,BUG,True
551,NORMAL,False
552,WATER,False
553,GRASS,False
554,STEEL,False
555,WATER,False
556,FIRE,False
557,STEEL,False
558,WATER,False
559,GROUND,False
560,NORMAL,False
561,ICE,False
562,WATER,True
563,NORMAL,False
564,FIRE,False
565,WATER,True
566,ELECTRIC,False
567,BUG,True
568,ROCK,False
569,DRAGON,False
570,FIRE,True
571,BUG,True
572,ROCK,False
573,NORMAL,False
574,GRASS,False
575,GRASS,False
576,WATER,False
577,ROCK,False
578,FIRE,False
579,ELECTRIC,False
580,DARK,False
581,GRASS,False
582,BUG,False
583,ROCK,False
584,ROCK,False
585,PSYCHIC,False
586,WATER,False
587,DRAGON,False
588,WATER,False
589,ROCK,False
590,WATER,False
591,GRASS,False
592,FIRE,False
593,GRASS,True
594,WATER,False
595,DRAGON,False
596,ELECTRIC,False
597,NORMAL,False
598,WATER,False
599,NORMAL,False
600,BUG,False
601,DARK,False
602,POISON,True
603,POISON,False
604,GRASS,False
605,GRASS,False
606,FIRE,True
607,ROCK,False
608,GRASS,False
609,GRASS,False
610,POISON,False
611,ICE,True
612,NORMAL,False
613,FIRE,False
614,FIRE,False
615,PSYCHIC,False
616,WATER,False
617,ELECTRIC,False
618,ROCK,False
619,DRAGON,False
620,POISON,False
621,GRASS,False
622,PSYCHIC,False
623,ELECTRIC,True
624,FIGHTING,True
625,FIRE,False
626,GRASS,False
627,NORMAL,False
628,WATER,False
629,DRAGON,False
630,WATER,False
631,WATER,False
632,BUG,False
633,FIRE,True
634,BUG,False
635,ELECTRIC,False
636,ICE,True
637,NORMAL,False
638,FIRE,False
639,WATER,False
640,ICE,True
641,NORMAL,False
642,GRASS,False
643,ICE,False
644,STEEL,True
645,GRASS,False
646,FIGHTING,False
647,POISON,False
648,WATER,False
649,NORMAL,False
650,ICE,False
651,WATER,False
652,ELECTRIC,True
653,POISON,False
654,GRASS,False
655,ELECTRIC,False
656,WATER,False
657,PSYCHIC,False
658,PSYCHIC,False
659,STEEL,False
660,GROUND,False
661,GROUND,False
662,POISON,False
663,WATER,False
664,NORMAL,False
665,WATER,True
666,PSYCHIC,False
667,WATER,False
668,WATER,False
669,GRASS,False
670,POISON,False
671,WATER,False
672,STEEL,True
673,ROCK,False
674,POISON,False
675,WATER,True
676,ICE,False
677,PSYCHIC,False
678,WATER,True
679,WATER,False
680,DRAGON,True
681,FIRE,False
682,NORMAL,False
683,GRASS,False
684,WATER,False
685,PSYCHIC,False
686,NORMAL,True
687,GRASS,False
688,NORMAL,False
689,BUG,True
690,WATER,True
691,BUG,False
692,STEEL,False
693,BUG,False
694,NORMAL,False
695,ROCK,False
696,BUG,False
697,WATER,False
698,POISON,True
699,WATER,True
700,GROUND,False
701,NORMAL,False
702,FIRE,False
703,PSYCHIC,True
704,WATER,False
705,ELECTRIC,False
706,BUG,False
707,PSYCHIC,True
708,FIRE,False
709,GRASS,False
710,WATER,False
711,NORMAL,False
712,BUG,False
713,FIRE,True
714,NORMAL,True
715,WATER,False
716,DRAGON,True
717,FIGHTING,False
718,STEEL,True
719,ROCK,False
720,FIRE,False
721,ELECTRIC,False
722,WATER,False
723,ICE,False
724,WATER,False
725,ELECTRIC,False
726,WATER,False
727,NORMAL,False
728,POISON,False
729,WATER,False
730,FIRE,False
731,WATER,False
732,GRASS,False
733,ROCK,False
734,ELECTRIC,True
735,WATER,False
736,ELECTRIC,False
737,NORMAL,False
738,POISON,False
739,ELECTRIC,False
740,DRAGON,False
741,WATER,False
742,GRASS,False
743,WATER,False
744,ROCK,False
745,PSYCHIC,False
746,WATER,False
747,ICE,False
748,ELECTRIC,True
749,PSYCHIC,False
750,GHOST,False
751,ROCK,False
752,STEEL,False
753,POISON,False
754,FIRE,False
755,ROCK,False
756,GROUND,False
757,WATER,False
758,BUG,False
759,DRAGON,True
760,NORMAL,False
761,NORMAL,False
762,FIRE,False
763,PSYCHIC,False
764,GRASS,True
765,NORMAL,False
766,DARK,False
767,DARK,False
768,WATER,True
769,GHOST,False
770,WATER,False
771,WATER,False
772,STEEL,False
773,WATER,False
774,ELECTRIC,False
775,GRASS,False
776,BUG,False
777,POISON,False
778,NORMAL,False
779,ELECTRIC,False
780,NORMAL,False
781,GRASS,False
782,BUG,False
783,NORMAL,False
784,STEEL,False
785,PSYCHIC,False
786,GRASS,False
787,NORMAL,False
788,BUG,True
789,WATER,False
790,DARK,False
791,FIGHTING,False
792,ROCK,False
793,FIGHTING,False
794,GHOST,False
795,GRASS,False
796,FIRE,True
797,NORMAL,False
798,BUG,False
799,GRASS,False
800,NORMAL,False
801,PSYCHIC,False
802,NORMAL,False
803,NORMAL,False
804,WATER,False
805,GROUND,False
806,STEEL,False
807,BUG,False
808,NORMAL,False
809,WATER,False
810,GRASS,False
811,NORMAL,False
812,GRASS,False
813,GRASS,False
814,WATER,True
815,WATER,False
816,FIRE,True
817,ROCK,False
818,DARK,False
819,WATER,False
820,FIRE,True
821,PSYCHIC,True
822,ROCK,False
823,ICE,False
824,GRASS,True
825,WATER,False
826,WATER,False
827,WATER,False
828,ELECTRIC,False
829,GROUND,False
830,STEEL,True
831,ELECTRIC,False
832,BUG,False
833,GRASS,False
834,NORMAL,False
835,FIGHTING,False
836,GRASS,False
837,WATER,False
838,FIRE,False
839,WATER,False
840,GRASS,False
841,WATER,False
842,PSYCHIC,False
843,BUG,False
844,DRAGON,True
845,NORMAL,False
846,WATER,True
847,ROCK,False
848,FIGHTING,True
849,GRASS,False
850,ICE,False
851,WATER,True
852,GROUND,False
853,GRASS,False
854,BUG,False
855,WATER,False
856,BUG,False
857,DRAGON,False
858,NORMAL,False
859,ROCK,False
860,PSYCHIC,False
861,BUG,False
862,GRASS,True
863,BUG,False
864,FIRE,True
865,WATER,False
866,FIRE,False
867,GROUND,False
868,GRASS,False
869,NORMAL,True
870,BUG,False
871,NORMAL,False
872,FIGHTING,True
873,WATER,False
874,WATER,True
875,NORMAL,False
876,DARK,True
877,DRAGON,True
878,ELECTRIC,False
879,DRAGON,False
880,PSYCHIC,False
881,GRASS,False
882,NORMAL,False
883,GRASS,False
884,POISON,False
885,GROUND,False
886,GRASS,False
887,NORMAL,True
888,NORMAL,False
889,ROCK,False
890,GRASS,False
891,GRASS,False
892,WATER,False
893,POISON,False
894,NORMAL,False
895,GHOST,False
896,NORMAL,False
897,NORMAL,False
898,BUG,False
899,WATER,False
900,PSYCHIC,False
901,BUG,False
902,FIRE,False
903,NORMAL,False
904,WATER,False
905,BUG,False
906,NORMAL,False
907,WATER,False
908,GRASS,False
909,PSYCHIC,False
910,WATER,False
911,ICE,False
912,GRASS,False
913,GROUND,False
914,NORMAL,True
915,WATER,False
916,FIRE,False
917,NORMAL,False
918,NORMAL,False
919,NORMAL,False
920,WATER,False
921,WATER,False
922,FIGHTING,False
923,DRAGON,True
924,BUG,False
925,NORMAL,False
926,ELECTRIC,False
927,WATER,True
928,NORMAL,False
929,GRASS,False
930,FIRE,False
931,GRASS,False
932,DRAGON,False
933,WATER,False
934,WATER,False
935,ICE,False
936,DARK,True
937,WATER,False
938,WATER,False
939,GROUND,True
940,WATER,False
941,GROUND,False
942,GRASS,False
943,NORMAL,False
944,BUG,False
945,ELECTRIC,False
946,NORMAL,False
947,NORMAL,False
948,BUG,False
949,WATER,False
950,GROUND,False
951,PSYCHIC,True
952,NORMAL,False
953,ICE,False
954,FIGHTING,False
955,BUG,False
956,BUG,False
957,ELECTRIC,False
958,FIRE,False
959,BUG,False
960,GHOST,True
961,BUG,False
962,POISON,False
963,FIRE,False
964,NORMAL,True
965,WATER,False
966,BUG,False
967,PSYCHIC,False
968,DRAGON,True
969,FIRE,False
970,ELECTRIC,False
971,GRASS,False
972,WATER,False
973,WATER,False
974,GROUND,False
975,FIGHTING,False
976,NORMAL,False
977,GRASS,False
978,NORMAL,False
979,ELECTRIC,True
980,WATER,False
981,GRASS,False
982,POISON,False
983,GRASS,True
984,ELECTRIC,False
985,WATER,False
986,ROCK,False
987,PSYCHIC,False
988,ICE,False
989,GRASS,False
990,BUG,False
991,NORMAL,False
992,STEEL,False
993,NORMAL,False
994,DRAGON,False
995,NORMAL,False
996,GRASS,False
997,WATER,False
998,ICE,False
999,BUG,False
1000,POISON,False
1001,GRASS,False
1002,NORMAL,False
1003,STEEL,False
1004,DRAGON,False
1005,NORMAL,False
1006,ELECTRIC,False
1007,NORMAL,False
1008,FIRE,False
1009,NORMAL,False
1010,NORMAL,False
1011,BUG,False
1012,WATER,False
1013,WATER,True
1014,STEEL,True
1015,PSYCHIC,False
1016,WATER,False
1017,BUG,False
1018,WATER,False
1019,PSYCHIC,False
1020,WATER,False
1021,GRASS,False
1022,FIRE,False
1023,NORMAL,False
1024,WATER,False
1025,ELECTRIC,False
1026,WATER,False
1027,FIGHTING,False
1028,WATER,False
1029,ICE,False
1030,FIGHTING,False
1031,BUG,False
1032,NORMAL,False
1033,FIGHTING,False
1034,GROUND,False
1035,PSYCHIC,False
1036,WATER,False
1037,WATER,True
1038,WATER,True
1039,ELECTRIC,False
1040,PSYCHIC,True
1041,POISON,True
1042,ROCK,False
1043,PSYCHIC,False
1044,FIGHTING,False
1045,WATER,False
1046,NORMAL,False
1047,FIRE,False
1048,GRASS,False
1049,ELECTRIC,False
1050,FIRE,False
1051,NORMAL,False
1052,BUG,False
1053,ROCK,False
1054,GRASS,True
1055,BUG,False
1056,BUG,False
1057,POISON,False
1058,GHOST,False
1059,PSYCHIC,False
1060,PSYCHIC,False
1061,WATER,False
1062,GRASS,True
1063,GHOST,True
1064,BUG,False
1065,NORMAL,False
1066,NORMAL,True
1067,GRASS,False
1068,ROCK,False
1069,FIRE,False
1070,FIRE,True
1071,ROCK,False
1072,DRAGON,False
1073,POISON,False
1074,NORMAL,False
1075,POISON,False
1076,WATER,False
1077,DRAGON,False
1078,GRASS,False
1079,WATER,False
1080,GROUND,False
1081,WATER,False
1082,FIRE,False
1083,GROUND,False
1084,ELECTRIC,False
1085,PSYCHIC,False
1086,WATER,False
1087,PSYCHIC,False
1088,PSYCHIC,True
1089,PSYCHIC,False
1090,WATER,False
1091,ROCK,True
1092,BUG,False
1093,NORMAL,False
1094,WATER,False
1095,WATER,False
1096,GRASS,True
1097,BUG,False
1098,WATER,False
1099,PSYCHIC,False
1100,STEEL,False
1101,ICE,False
1102,STEEL,True
1103,GRASS,False
1104,DARK,False
1105,NORMAL,False
1106,NORMAL,False
1107,WATER,False
1108,GRASS,False
1109,WATER,False
1110,FIGHTING,True
1111,POISON,False
1112,PSYCHIC,False
1113,PSYCHIC,True
1114,BUG,False
1115,NORMAL,False
1116,ROCK,False
1117,NORMAL,False
1118,PSYCHIC,False
1119,NORMAL,False
1120,NORMAL,False
1121,NORMAL,False
1122,WATER,False
1123,DRAGON,True
1124,ROCK,False
1125,WATER,False
1126,FIRE,False
1127,WATER,False
1128,ROCK,False
1129,GRASS,True
1130,NORMAL,False
1131,NORMAL,False
1132,BUG,False
1133,ELECTRIC,False
1134,PSYCHIC,False
1135,GRASS,False
1136,GRASS,False
1137,BUG,True
1138,NORMAL,False
1139,PSYCHIC,False
1140,DRAGON,True
1141,ROCK,True
1142,BUG,False
1143,BUG,False
1144,GRASS,False
1145,ROCK,False
1146,DARK,True
1147,DRAGON,False
1148,BUG,False
1149,ICE,False
1150,NORMAL,False
1151,FIRE,False
1152,GROUND,False
1153,WATER,False
1154,GHOST,True
1155,WATER,False
1156,WATER,False
1157,WATER,False
1158,NORMAL,False
1159,FIRE,False
1160,STEEL,False
1161,NORMAL,False
1162,POISON,False
1163,WATER,False
1164,WATER,False
1165,FIGHTING,False
1166,STEEL,True
1167,POISON,False
1168,NORMAL,False
1169,ROCK,False
1170,STEEL,False
1171,BUG,False
1172,NORMAL,False
1173,GRASS,False
1174,ROCK,False
1175,WATER,False
1176,WATER,False
1177,NORMAL,False
1178,DARK,False
1179,NORMAL,False
1180,BUG,False
1181,DARK,True
1182,STEEL,False
1183,POISON,False
1184,PSYCHIC,False
1185,ROCK,True
1186,NORMAL,False
1187,BUG,False
1188,NORMAL,False
1189,GROUND,False
1190,NORMAL,True
1191,NORMAL,False
1192,FIRE,False
1193,GRASS,False
1194,BUG,False
1195,FIGHTING,False
1196,WATER,False
1197,DARK,False
1198,GRASS,False
1199,WATER,False
1200,WATER,True
1201,WATER,False
1202,BUG,False
1203,STEEL,False
1204,FIRE,False
1205,GRASS,True
1206,PSYCHIC,False
1207,NORMAL,False
1208,GRASS,False
1209,WATER,False
1210,GRASS,False
1211,PSYCHIC,False
1212,ELECTRIC,False
1213,ELECTRIC,False
1214,PSYCHIC,False
1215,FIGHTING,False
1216,GRASS,False
1217,ELECTRIC,False
1218,FIRE,False
1219,PSYCHIC,True
1220,FIRE,False
1221,BUG,False
1222,POISON,False
1223,FIGHTING,True
1224,FIRE,False
1225,NORMAL,False
1226,WATER,True
1227,ROCK,False
1228,NORMAL,False
1229,FIRE,True
1230,BUG,False
1231,FIGHTING,False
1232,GRASS,False
1233,FIRE,False
1234,WATER,False
1235,ELECTRIC,False
1236,WATER,True
1237,BUG,False
1238,NORMAL,True
1239,ELECTRIC,False
1240,ROCK,False
1241,WATER,False
1242,DRAGON,False
1243,BUG,False
1244,WATER,False
1245,ICE,False
1246,NORMAL,False
1247,ICE,False
1248,ICE,False
1249,POISON,False
1250,FIRE,True
1251,FIRE,False
1252,ICE,False
1253,STEEL,False
1254,POISON,False
1255,FIRE,True
1256,NORMAL,False
1257,GHOST,False
1258,WATER,False
1259,ELECTRIC,False
1260,WATER,False
1261,GROUND,False
1262,DRAGON,False
1263,GRASS,False
1264,STEEL,False
1265,FIRE,False
1266,GRASS,False
1267,WATER,False
1268,NORMAL,False
1269,DRAGON,False
1270,WATER,False
1271,WATER,False
1272,ICE,False
1273,POISON,False
1274,ROCK,False
1275,ICE,False
1276,WATER,True
1277,BUG,False
1278,WATER,False
1279,PSYCHIC,False
1280,WATER,False
1281,BUG,False
1282,STEEL,False
1283,WATER,False
1284,DRAGON,False
1285,GROUND,False
1286,PSYCHIC,False
1287,WATER,False
1288,BUG,True
1289,POISON,False
1290,NORMAL,False
1291,WATER,False
1292,GHOST,True
1293,WATER,False
1294,GHOST,False
1295,BUG,False
1296,GROUND,False
1297,ELECTRIC,False
1298,NORMAL,False
1299,GRASS,True
1300,WATER,False
1301,NORMAL,True
1302,WATER,False
1303,FIRE,False
1304,NORMAL,False
1305,WATER,False
1306,ROCK,False
1307,FIRE,False
1308,GRASS,False
1309,ELECTRIC,False
1310,WATER,False
1311,NORMAL,False
1312,PSYCHIC,False
1313,GROUND,True
1314,GRASS,False
1315,STEEL,False
1316,STEEL,False
1317,WATER,False
1318,WATER,False
1319,ELECTRIC,False
1320,WATER,False
1321,GRASS,False
1322,GROUND,False
1323,GRASS,False
1324,NORMAL,False
1325,WATER,False
1326,GROUND,True
1327,FIRE,False
1328,BUG,True
1329,GROUND,False
1330,DARK,True
1331,NORMAL,False
1332,GROUND,False
1333,DRAGON,True
1334,BUG,False
1335,ROCK,False
1336,WATER,False
1337,BUG,False
1338,DRAGON,True
1339,WATER,True
1340,NORMAL,False
1341,GRASS,False
1342,STEEL,False
1343,NORMAL,True
1344,ROCK,False
1345,GROUND,False
1346,BUG,False
1347,GROUND,False
1348,NORMAL,False
1349,ELECTRIC,True
1350,POISON,False
1351,GROUND,False
1352,GROUND,False
1353,WATER,False
1354,NORMAL,False
1355,WATER,True
1356,BUG,False
1357,FIGHTING,False
1358,STEEL,True
1359,BUG,False
1360,FIRE,False
1361,POISON,False
1362,FIRE,False
1363,WATER,True
1364,DARK,False
1365,POISON,False
1366,WATER,False
1367,NORMAL,False
1368,BUG,False
1369,ROCK,False
1370,FIGHTING,False
1371,FIRE,True
1372,STEEL,False
1373,WATER,False
1374,WATER,False
1375,WATER,False
1376,PSYCHIC,False
1377,WATER,False
1378,GRASS,False
1379,NORMAL,False
1380,WATER,False
1381,GROUND,True
1382,WATER,False
1383,ROCK,False
1384,PSYCHIC,False
1385,WATER,False
1386,WATER,False
1387,PSYCHIC,True
1388,NORMAL,False
1389,BUG,False
1390,NORMAL,False
1391,GRASS,False
1392,POISON,False
1393,WATER,False
1394,GHOST,True
1395,WATER,False
1396,FIGHTING,False
1397,GRASS,False
1398,DARK,False
1399,PSYCHIC,True
1400,GROUND,False
1401,BUG,False
1402,WATER,True
1403,BUG,True
1404,WATER,True
1405,PSYCHIC,True
1406,WATER,False
1407,STEEL,False
1408,NORMAL,False
1409,ROCK,False
1410,POISON,False
1411,NORMAL,False
1412,BUG,False
1413,ROCK,True
1414,DARK,False
1415,WATER,True
1416,WATER,False
1417,WATER,True
1418,WATER,False
1419,GROUND,True
1420,NORMAL,False
1421,FIRE,False
1422,ICE,False
1423,ELECTRIC,False
1424,GRASS,False
1425,ELECTRIC,False
1426,FIRE,True
1427,POISON,False
1428,FIGHTING,False
1429,STEEL,True
1430,WATER,False
1431,NORMAL,False
1432,GRASS,False
1433,POISON,False
1434,BUG,False
1435,GHOST,True
1436,WATER,False
1437,GRASS,False
1438,WATER,False
1439,ICE,False
1440,WATER,False
1441,GRASS,False
1442,FIGHTING,False
1443,NORMAL,False
1444,ELECTRIC,False
1445,NORMAL,False
1446,FIRE,False
1447,WATER,False
1448,DRAGON,False
1449,FIRE,False
1450,WATER,False
1451,WATER,False
1452,FIRE,False
1453,DARK,False
1454,POISON,True
1455,WATER,False
1456,NORMAL,False
1457,GRASS,False
1458,NORMAL,False
1459,GRASS,False
1460,WATER,True
1461,GRASS,False
1462,WATER,False
1463,POISON,False
1464,GROUND,False
1465,STEEL,True
1466,POISON,False
1467,WATER,False
1468,NORMAL,True
1469,WATER,False
